,author,stars,date,text
64,Lei H.,"We have been here three times and tonight was the worse and we won't be back.  The combination of inconsistent quality food and mediocre service are the reasons. 

We had 
- the chashu ramen and that's ok. My older daughter liked this 
- the fried chicken ramen and the chicken tasted a bit sour.  I think it's just old.  We are now worried about food poisoning.   We told the waiter to tell the chef.  We didn't expect a refund just a comment as we ate the ramen and left most of the chicken.  He didn't know what to say. 
- dragon roll.  This was pretty good
- Walu nigiri.  Fairly skim on the fish
- hamachi Kama.  First time we had this was great.  This time it was undercooked and we had to ask them to go back and cook it more.  He did apologize but by this time we have lost our good impression of this place

To add on to this, service is lacking.  I had to ask for plates, bowls.  It's a Chinese run Japanese place and the waiter didn't speak much English.  I started to speak to him in mandarin. That helped a little. 

Lastly, we were using a restaurant.com coupon.  We felt a little bit like a second class citizen as soon as he heard this.  

Imagine our whole family felt pretty unsatisfied with the meal and we paid $25 less than full price.  How disappointing.  Was hoping to be a regular here as its 5 blocks from our house.  No more !!
",2016-09-04,2.0
65,Tanay J.,"DJ Sushi is not good. The sushi is extremely average, but the portions stand out because they are TINY. The Lion King Roll was about 1/2 the size of others that I've had in the city. 

To give you an idea of the portion size, here is a picture of 3 full rolls of sushi (about $25 worth)... It all fit in one small delicery box...

I would say skip this place and find something with more bang for your buck. If it was this expensive relative to what you get, the quality should be way better.
",2016-07-12,2.0
66,Baptiste D.,"I ordered on postmaste and we are disappointed. Overprice for the quality, not the most tasty sushi.

I not recommand this sushi actually.
",2017-08-21,3.0
67,Mason W.,"Very tasty sushi and nice ambiance.  I wish the prices were a bit cheaper though.
",2018-03-06,4.0
68,Grace A.,"My partner and ordered in here one night. This place had sub-par sushi -- not good, but not bad. 

We ordered a few of the basic rolls like Alaska Roll (probably the best thing we got but again, it was basic). We also ordered a few specialty rolls like the Lion King Roll (which was our 2nd fave). However, the Spicy Tuna roll was not good at all. Quite dry and fell apart. Also didn't have that much flavor so it ended up tasting like slightly spicy tuna flavored rice and seaweed. 

Stick to the basics here, if anything at all.
",2017-10-03,3.0
69,Kelly N.,"Came here for lunch on a Friday and there was no one except for our table, but the restaurant was super nice. I really liked the decor and the high Japanese like ceiling in the back.

Food:

Fuji Mountain Roll: My coworker got this and it came literally on fire. It was a nice touch and she said it was delicious.

Broadway Roll: I thought this roll was really good too. The flavors were delicious. I liked the sauce on top. The food was fresh. 

It doesn't seem like this restaurant should get such a low rating. Maybe it's just a problem with delivery, but it was decent.
",2016-11-18,4.0
70,Eva Y.,"Had an assortment of sashimi here which was not NOT fresh. On top of that, they really skimped out on the fish.

Not a place I would recommend to any of my friends. Will not be back (at least not for sushi).
",2017-07-08,2.0
71,Khoi N.,"This place is awesome for sushi and ramen lovers. First thing the waitress asks you is do you have a coupon. They will then outline all of the deals and promos they have out there. We came with a Groupon. We ordered the Tan Tan ramen, F sushi/ sashimi special, Maguro, Hama toro, Sake toro and Sake sashimi. I'm really picky with my ramen. But DJ's was delicious! You get a lightly spiced ramen with an egg, Chashu, corn and small pieces of beef. All of the sushi and sashimi tasted fresh. We loved the toro because of the fatty flavor. I like how this place has all types of Yelp, Groupon and happy hour specials. I'll be back to try some of their sushi rolls and other ramen flavors.
",2016-05-30,4.0
72,Sarah H.,"Absolutely delicious and unique sushi. We have lived in the North beach neighborhood for years and it's hard to find good and fresh sushi in the midst of the Italian restaurants and bars scene. We ordered sushi combo B, the classic shrimp tempura roll, and the 49er roll with the standout being the Chicago roll with fresh mango. Everything was spot on! The giant Asahi beers for $6 and white boxed wine (love it!) for $4 was the little cherry on top. No frills, absolutely fresh fish and not crazy SF prices..turn up the beat DJ sushi!
",2018-05-12,5.0
73,Foodie S.,"This restaurant is named under ""Mura Ramen"" in Doordash.  If we have known this, we would NOT order from them.  We had a very negative experience with their food and service in the past.  Today, another negative experience.  We received the food and most of the 3 orders of ramen broth ended up out of their containers and in the bag.  This created a big mess, and at least one of us does not have lunch.  I called the restaurant to let them know about it and I was told rudely that it is not their problem, it is Doordash problem, then hung up on me.  TERRIBLE CUSTOMER SERVICE.  We could tell that the broth were packaged poorly, and it is not entirely the driver's fault.  If I can give this place ZERO stars I will.   Stay away from this place!!!!!!
",2018-02-23,1.0
